augustine.de_opere_monachorum,urn:cts:latinLit:stoa0040.stoa055,,,
augustine.de_ordine,urn:cts:latinLit:stoa0040.stoa056,,,
augustine.de_patientia,urn:cts:latinLit:stoa0040.stoa056b,,,
augustine.de_peccato_originali,urn:cts:latinLit:stoa0040.stoa056c,,,
augustine.de_peccatorum_meritis_et_remissione_et_de_baptismo_parvulorum,urn:cts:latinLit:stoa0040.stoa057,,,
augustine.de_perfectione_iustitiae_hominis,urn:cts:latinLit:stoa0040.stoa057a,,,
augustine.de_sancta_virginitate,urn:cts:latinLit:stoa0040.stoa060,,,
augustine.de_spiritu_et_littera,urn:cts:latinLit:stoa0040.stoa062,,,
augustine.de_trinitate,,,,The Latin Library
augustine.de_utilitae_credendi,urn:cts:latinLit:stoa0040.stoa064,,,
augustine.epistula_ad_catholicos_de_secta_donatistarum,urn:cts:latinLit:stoa0040.stoa020,,,
augustine.epistulae,urn:cts:latinLit:stoa0040.stoa011,,,
augustine.gesta_cum_emerito_donatistarum_episcopo,urn:cts:latinLit:stoa0040.stoa066c,,,
augustine.libellus_adversus_fulgentium_donatistam,urn:cts:latinLit:stoa0040.stoa070a,,,
augustine.liber_de_unico_baptismo,urn:cts:latinLit:stoa0040.stoa063,,,
augustine.locutiones_in_heptateuchum,urn:cts:latinLit:stoa0040.stoa070,,,
augustine.psalmus_contra_partem_donati,urn:cts:latinLit:stoa0040.stoa072,,,
augustine.quaestiones_in_heptateuchum,urn:cts:latinLit:stoa0040.stoa074,,,
augustine.retractationes,urn:cts:latinLit:stoa0040.stoa077,,,
augustine.sermo_ad_caesariensis_ecclesiae_plebem,urn:cts:latinLit:stoa0040.stoa077c,,,
augustine.sermo_de_rusticiano_subdiacono,urn:cts:latinLit:stoa0040.stoa077d,,,
augustine.speculum,urn:cts:latinLit:stoa0040.stoa080a,,,
augustine_pseudo.quaestiones_veteris_et_novi_testamenti,urn:cts:latinLit:stoa0040a.stoa002,,,
aurelius_victor.de_caesaribus,urn:cts:latinLit:stoa0043.stoa001,,,
aurelius_victor.epitome_de_caesaribus,urn:cts:latinLit:stoa0044.stoa003,,,
ausonius.cento_nuptialis,urn:cts:latinLit:stoa0045.stoa003,,,
ausonius.commemoratio_professorum_burdigalensium,urn:cts:latinLit:stoa0045.stoa004,,,
ausonius.cupido_cruciatus,urn:cts:latinLit:stoa0045.stoa005,,,
ausonius.de_bissula,urn:cts:latinLit:stoa0045.stoa001,,,
ausonius.de_herediolo,urn:cts:latinLit:stoa0045.stoa006,,,
ausonius.de_xii_caesaribus,urn:cts:latinLit:stoa0045.stoa002,,,
ausonius.eclogarum_liber,urn:cts:latinLit:stoa0045.stoa007,,,
