συνεργός,adiutor
ἕλκω,iam,navigii,ad,valebant,traha,traho,invenietis
ἐκκλίνω,declino,eo,inquiro
ἐπαγγέλλω,sui,promitto,polliceor,Deus,repromitto
ἄγγελος,angelus
καύχησις,gloriatus,gloriatio,noster,apud,nonne,gloria
ψευδαπόστολος,pseudoapostoli,subdolus,nam
συνπαραλαβόντες,ab,Hierosolymis,Iohanne,expleo
̓αδελφέ,educo,poto,sinis,perspicio,videns
καταβραβεύω,suus,vidit,inflatus,frustror,seduco,volens,ambulo
ἐφοράω,respicio,servis
ῥάπισμα,pontificius,alapa,have,assisto,minister,veniebant
̔́οταν,loco,cum,orata,venerit,adveniat
ἀνδρίζω,ago,viriliter
ἀόρατος,solium,regium,invisibili,immortalis,invisibilia,invisibilis
αἴγυπτος,Aegypti,Aegyptum,Aegypto,quoadusque
κερματιστής,boves,nummularius
περί,circa,pro,de2
ωσπερ,sicut,Deo,nam
μητρίς,suus,ultra,mater,Baptistae,illa
βύσσινος,sui,byssinus,splendeo
ἐπιβλέπω,obsecro,exclamavit,respicio
γενεαλογία,genealogia,quaestiono
προέχω,Graecos,igitur,causor,nequaquam,praecello
̓́ερημός,desertus,hora,praeterivit
εἶδος,vidistis,vos,species,fides,is
̓ιεροσολύμοις,Hierosolymis,videntes,veniet
̓εμνήσθησαν,vero,recordor,comedo
ὀφείλημα,debitum,noster,inputo
καταξιόω,patior,conspectus2,Iesu,dignus,habeo
τήκω,ignis,ardeo,tabesco,ardor,propero
̔́ελλην,assumo,sui,proficiscor,gentilis,voluit
̓ιάκωβον,nemo,Iacobum
κιθαρίζω,citharizo
̓επιτιμήσαι,impero,altercor
συγκοινωνέω,delictum,particeps,redarguo,communico,sitis
συλλήμψῃ,vocabis,paries,concipio
ὑποφέρω,patior,sustineo
βάπτισις,baptizavi,vero,Sancto,Spiritu
κόπος,laboro,labor2
μακαρισμός,fero,acceptum,beatitudo
ἅψις,ne,contrectaveris,gustaveris
κενοφωνία,nomen,oppositio,vocum,fallo,devitans,Timothee,novitates
̓εκάθισεν,apud,sedeo
̓αντλήσατε,fero,Iesus,haurio
θέρος,aestas
ὑψόω,exalto,exaltaveritis,exaltavit
καταράομαι,maledictum,discedo,maledico
̓οφείλομεν,infirmus,debeo,sustineo,imbecillitas,firmus
ψευδομαρτυρέω,fero,testimonium,facies,dico2,adversus,fallo
ἐπεγείρω,concitaverunt,vero,ad,suscitaverunt,adversus,iracundia
βλασφημία,blasphemium,blasphemia
ὠδίνω,dolus,parturiens,exsurgo,habeo,uterus,ut
παραθαλάσσιος,maritimus,habitavit,civitate
ἐπιδύω,nolo,occido,irasco,iracundia,vestram
κέρδος,vivere,lucrum
κυλλός,vel,ad,proicio,debilis
προακούω,audio,veritatis,verbo
στέγη,puer,tectum,vexari
μαθθαῖον,Thomam,teloneo,Mattheum
̔ακελδαμάχ,ager,appello2,Sanguinis,Acheldemach
διαπρίω,cogito,disseco,cum,hic
κιννάμωμον,vini,mancipium,ovium,amomum,raeda,simila,anima,cinnamomum
δέω2,nihil,laedo,oportet,obsecro
ἀργυροκόπος,aedes,argenteus,argentarius
βῆμα,pro,tribunal,ante
σεαυτοῦ,tu,fax,ipse
σκήνωμα,ut,tabernaculum,inveniret
ἐκπτύω,excipio,vestram,sprevistis,respuo
προκαταρτίζω,necessaria,praeparo,avaritiam,repromitto,praeveniant,quasi,existimavi
ἄφοβος,apud,venerit,serviamus,ut,timor,sinis
πυρφόρος,fur,tinea,adpropio,deficio,vendite,veterescunt,corrumpo
λάρυγξ,suus,guttur,pateo,ago,dolosus,aspis,venenum
μάρτυς,testa,testis,resuscitavit,horus
μαντεύομαι,iste,Paulum,servi
κολλυβιστής,nummularius
μαλακία,civitates,discipula,sano,Iesus,infirmitas
ἔξυπνος,volebat,videns,aperto,vinctos,aestimo,expergefacio,evaginato
πεντακισχίλιοι,milium,homo,quin,manducaverunt,virorum
χρονόω,congrego,viris,momentum,tempus,saecularia
ἀπείραστος,cum,intemptator,ipse
̓αρφαξάδ,Sem,Lamech,Noe,Arfaxat
καταμανθάνω,vestimento
ἀνόητος,stultus,insipiens,sum
̓ελθέ,navicula,aio,veniret,ut,veni,at,ipse
ἀναιδίαν,quotquot,habeo,is,necessarius,improbitas
σκιάς,umbro
ἀπόκριμα,responsus,ego,suscito,fido,simus
ἀποτομία,vide,fors,naturale,severitatem
δέω1,alligo,protinus,rescivit,quisque,postquam
ζαχαρίας,Zaccharias,Zacchariam,salutavit,videns,Zacchariae
συμπίπτω,concido2,ruina,audivit,fluvius
̓ιανναί,Iannae,Matthat
βραβεῖον,bravium,sed,stadius,hic
ἀναζωπυρέω,resuscito,ut,admoneo
συνεπιτίθημι,adiicio
δίς,do,iterum,bis,vocem
ἀποχέω,honoro,iam,at,sufficio,respondeo
ἐνοχλέω,suus,venerunt,vexabantur,contemplor,inpediat,germino
ἀθετέω,sperno,abicio,servetis,irritus,facio
αἰσχρολογία,sermo,indignatio,turpo,vestro
ῥαβδοῦχος,lictor,timeo,eicio,ego,audio,Romani,ipse
διαίρεσις,divisiones,vero,idem
ἐκκαίω,merces,exardesco,oportet,naturale,desiderium
λῆρος,iste,sicut,visa,deliramentum
γαλήνη,tranquillitas,factum,imperavit
̓απφίᾳ,noster,commilito,Appiae
σύνεσις,intellego,voluntatis,postulo,ex,prudentia,audivimus,prout
̓ιουδαίων,ex,Iudaeis,immo,Iudaeorum
μηδίς,clerus,ex,neque,animus
̓ανεβάλετο,audio,differo
τηρέω,eos,serves,serva,custodio,servabant,observemus,servate,servasti,servavi,servat
πολυτελής,frango,Bethaniae,spicatus,alabaster
ἀποτίθημι,depono,error,pristinus,veterem,suscipio
κομίζω,vestrae,gero,probation,fides,reporto,accipio,percipio
ὀνομάζω,huc,nomino
κορνήλιος,Cornelius,Corneli
ἐπίσημος,insigno,Barabbas
ἄμεμπτος,vacasset,conversatus,culpa,sinis,inquiro,querela,ante
ἐπανέρχομαι,redeo
διατροφή,contineo,alimentum,tego,sum
ἀδίκημα,si,iniquitas,pervenerunt
στρουθίων,passer,nolo,melioro,ergo
ἐρεθίζω,apud,Macedonas,animus,praetereo,provocavit
ὡσπερεί,novissime,abortivo,visus,edo,tamquam
στύλος,tardavero,vivi,firmamentum,columna,tu
γεωργός,allium,colonus,agricola,absum
ἀθέμιστος,ad
προσάββατον,sabbatum,ante,quia
ὦσις,serva,venio,videant,iam,sum
ἀποδοκιμάζω,summa,reprobaverunt,reprobo,hac
ὠρυόμενος,devoret,circumeo,rugio,vester,quia
οἶκος,deserta,domus
ἄγω,eo,ago,adduco,ad,duco
περιοικέω,montana,vicinos,divulgabantur
̓ιώάνης,Baptista,inopero,Iohannes,virtutes,propterea,audivit
ὑποβάλλω,viros,blasphemia,Deum,audio,Mosen,summitto
μισέω,suus,si,odeum,habeo,odi,diligo
ὀρύσσω,dominium,saepes,fodio
ἐκαθερίσθη,mundo,cum,Iesus,dico2
φιλόλογος,Olympiadem,Filologum,sancio,Nereum,Iuliam
παραβαίνω,recipio,transgredior,lavant,disco,sui,accipio,quare
εὐμετάδοτος,fio,ago,communico,tribuo,facilis
κακός,morus,malefactor,malus,venire,bonus,omnis,malus2,facio
ἀνθρακιά,pruna,viderunt
παιδαγωγός,pedagogo,ubius,pedagogus,iam,fido,at
κραυγάζω,invenio,exinde,crucifigite,clamo,vidissent
μύρω,iste,intra,unguentum
̓́ερχεται,venit,procumbo,solvere
ὁλοτελής,per,omnis,servetur,vester
̔́αννα,sub,Anna
αὐθεντέω,dominor,virum
ἀρτύω,semper,condo,vester
ἐνίστημι,praesens,instantia,insto,fortitudo,servientem,certus,iuxta
περιτομή,Iesu,circumcisio,valet
θεώρησις,aeternus,videbit
τρέφω,pavimus,dedo,multus,pasco,vidimus,solitudo
βεβηλόω,devita,profanus,ad
λοίδορος,maledicus,ebriosus
ὑπωπιάζω,vindicabo,suggillet,veniens,novissimo
προδότης,quis2,proditor
κατακαυχάομαι,ramus,glorior,nolo,porta,adversus
ἀπροσωπολήμπτως,acceptio,uniuscuiusque,invocatis,conversamini,vestri,sinis,persona,incolatus
ἀποσυνάγωγος,arbitror,praesto2,sui,ab,synagoga
̓ορθῶς,vives,rectum
φωτίζω,inluminavit,illumino,egeo,venientem,vestri,inlumino
ἄθεος,conversatione,Deo
σκορπίος,scorpio
̓ατταλίαν,unde,indo,opus,navigaverunt,gratiae,conpleverunt,trado,Dei
ποταπή,Pharisaeus,intra,qualis,utique,vocaverat,peccatrix
περικε,fides,galea,caritas
ἀπαρχή,primitiae
̓αχαία,probaverunt,Achaia,collatio
σῖτος,triticum,frumentum
εὐπορέω,habeo,propono,prout
βαθύνω,eo,fundo,inundatio,altum,enim,movere
ἐπιθυμέω,quippe,cupio,viderit,eo,concupisco,invenient,desidero,absum,cognovi
άὐτοῦ,is,videbunt
συνομιλέω,convenerant,loquor,intravit
ναύκληρος,Paulo,credo,nauclerio,hic
ἑρμηνία,sermo,virtutum,prophetatio,interpretatio
οῦν,ergo,at,quare
ζακχαῖος,Zaccheus
εὐφρόσυνος,vias,noto,repleo,iucunditas
ἐπιποθέω,videre,cupio,ut,vos,desidero
πρόσοχθίζω,infensus
ἐλκύσῃ,traho,venire,resuscito,nisus
ἐφάλλομαι,daemonium,insiliens,invaluit,contra,vulnerati
μακροθυμέω,habeo,omnis,patientia,patior,fero,oro
ὁμολογέω,venisse,confessio,fio,edo,confiteor
ἄκαιρος,insto,importune,obsecro
ἑώρακαν,ex,dum,viderant,inventus
μισθός,suus,merces,merx
συνοικοδομέω,coaedifico,habitaculum,Spiritu,vos
̓επειδή,mandavimus,evertentes,turbaverunt,verbis,audivimus,vestras,exeo
ἔκστασις,stupor,eo,tremo,pavor,at,invaserat
κεφαλή,supra,caput
τρίμηνος,edico,suus,parens2,timeo,elego,mensis,infans,vidissent,occulto2
καθηγητής,magister,vocemini,vester
σκότιος,eo,tenebrae,vadat,iam
γυναικόω,muliero,mulier,virorum
βιθυνίη,irus,venissent,permitto,Bithyniam
̔ανανίαν,vidit,recipio,Ananiam,introeuntem,virum
ἐπαινέω,laudatus,laudavit,numquid,filia,magnifico,laudo
ταχινός,significavit,secundum,certus,velox
ἐπιούσιος,noster,cottidie,supersubstantialis,cottidianus
βεβηλῶσαι,apprehendo,violare,conor,etiam
οὐαί,veniet,vae
μεγαλύνω,multitudo,augeo,atque,magnifico
καλύπτω,converti,debeo,operio,viae,salvabit,etiam,hic
μεστός,plenum,plenus,autem
ἑβδομηκοντάκις,septuagies
περισσεία,abundantia,donatio
νότος,ab,haustrum
αὐτα,venerunt,secus,quidam
πῶλος,dominium,asina,solventes,pullum,inpono,duco,solventibus
ἀμετάθετος,immobilis,propono,reor
ἀπρόσιτος,vidit,videre,sed,inaccessibilis,nullus,sempiternus
θῴρακας,visione,sulphureus,lorico,hyacinthinus,igneus,vidi
