ID	SOURCE_ID	TARGET_ID	MATCHES
1	6	10	0
2	6	9	0
3	6	8	0
4	6	7	0
5	6	11	0
6	6	13	0
7	6	14	0
8	6	12	0
9	6	17	0
10	6	19	0
11	6	15	0
12	6	16	1
13	6	20	0
14	6	21	0
15	6	22	0
16	6	23	0
17	6	24	0
18	6	26	0
19	6	25	0
20	6	27	0
21	6	28	0
22	6	29	0
23	6	39	0
24	6	104	0
25	6	30	4
26	6	105	0
27	6	40	1
28	6	106	0
29	6	107	1
30	6	108	0
31	6	109	0
32	6	112	0
33	6	111	0
34	6	110	0
35	6	113	0
36	6	114	0
37	6	115	0
38	6	122	0
39	6	123	0
40	6	117	11
41	6	125	0
42	6	124	0
43	6	126	2
44	6	128	0
45	6	127	3
46	6	131	3
47	6	132	3
48	6	134	5
49	6	136	5
50	6	135	3
51	6	138	5
52	6	140	4
53	6	141	1
54	6	142	3
55	6	145	0
56	6	143	8
57	6	144	4
58	6	147	0
59	6	150	0
60	6	149	1
61	6	148	4
62	6	152	1
63	6	153	0
64	6	146	26
65	6	154	0
66	6	155	0
67	6	156	0
68	6	157	0
69	6	158	0
70	6	159	0
71	6	160	0
72	6	161	0
73	6	162	0
74	6	164	0
75	6	163	0
76	6	165	1
77	6	166	3
78	6	167	0
79	6	169	0
80	6	168	0
81	6	170	0
82	6	171	0
83	6	175	0
84	6	176	3
85	6	174	1
86	6	177	0
87	6	178	0
88	6	179	0
89	6	180	0
90	6	183	0
91	6	190	0
92	6	205	0
93	6	207	0
94	6	208	0
95	6	206	0
96	6	209	0
97	6	211	0
98	6	210	0
99	6	212	0
100	6	213	0
101	6	221	0
102	6	222	6
103	6	231	0
104	6	232	0
105	6	220	21
106	6	233	1
107	6	223	12
108	6	234	1
109	6	235	0
110	6	236	0
111	6	239	3
112	6	244	2
113	6	241	9
114	6	245	11
115	7	8	0
116	7	9	0
117	7	10	0
118	6	243	79
119	7	11	0
120	7	12	0
121	7	13	0
122	7	14	0
123	7	15	0
124	7	17	0
125	7	19	0
126	7	16	1
127	7	20	0
128	7	21	0
129	7	22	0
130	7	23	0
131	7	24	0
132	7	25	0
133	7	26	0
134	7	27	0
135	7	28	0
136	7	29	0
137	7	39	0
138	7	104	0
139	7	30	5
140	7	40	5
141	7	105	0
142	7	106	1
143	7	109	0
144	7	108	0
145	7	107	0
146	7	110	1
147	7	112	0
148	7	111	0
149	7	113	0
150	7	114	0
151	7	115	0
152	7	122	0
153	7	123	0
154	7	117	8
155	7	125	0
156	7	124	3
157	7	126	4
158	7	128	0
159	7	127	1
160	7	131	11
161	7	132	2
162	7	134	12
163	7	136	5
164	7	135	8
165	7	140	3
166	7	141	4
167	7	138	17
168	7	145	0
169	7	142	11
170	7	147	0
171	7	143	7
172	7	144	5
173	7	150	0
174	7	149	2
175	7	148	6
176	7	152	2
177	7	153	2
178	7	146	27
179	7	154	0
180	7	155	4
181	7	156	0
182	7	157	0
183	7	158	0
184	7	159	0
185	7	160	0
186	7	161	1
187	7	162	0
188	7	164	1
189	7	163	5
190	7	165	0
191	7	166	1
192	7	167	1
193	7	169	0
194	7	168	2
195	7	170	1
196	7	175	0
197	7	171	0
198	7	176	1
199	7	177	0
200	7	178	0
201	7	174	8
202	7	179	0
203	7	183	0
204	7	180	0
205	7	190	0
206	7	205	0
207	7	207	0
208	7	208	0
209	7	206	0
210	7	209	0
211	7	210	0
212	7	211	0
213	7	212	1
214	7	213	0
215	7	221	0
216	7	222	6
217	7	231	0
218	7	232	1
219	7	220	25
220	7	233	1
221	7	223	15
222	7	234	5
223	7	235	0
224	7	236	2
225	7	239	1
226	7	244	0
227	7	245	2
228	7	241	4
229	8	9	0
230	8	10	0
231	7	243	18
232	8	11	0
233	8	12	0
234	8	13	0
235	8	14	0
236	8	15	0
237	8	17	0
238	8	16	1
239	8	19	0
240	8	20	0
241	8	21	0
242	8	22	0
243	8	23	0
244	8	24	0
245	8	25	0
246	8	26	0
247	8	27	0
248	8	28	0
249	8	29	0
250	8	39	0
251	8	30	0
252	8	40	1
253	8	104	0
254	8	105	0
255	8	106	0
256	8	108	0
257	8	107	0
258	8	109	0
259	8	110	0
260	8	112	0
261	8	111	0
262	8	113	0
263	8	114	0
264	8	115	0
265	8	122	0
266	8	117	3
267	8	123	0
268	8	124	2
269	8	125	0
270	8	126	0
271	8	127	0
272	8	128	0
273	8	131	2
274	8	132	2
275	8	134	4
276	8	135	6
277	8	136	3
278	8	138	4
279	8	140	1
280	8	141	1
281	8	142	1
282	8	145	0
283	8	143	7
284	8	144	2
285	8	147	0
286	8	149	1
287	8	148	3
288	8	150	0
289	8	146	5
290	8	152	0
291	8	153	0
292	8	154	0
293	8	155	0
294	8	156	0
295	8	157	0
296	8	158	0
297	8	159	0
298	8	160	0
299	8	161	0
300	8	162	0
301	8	163	0
302	8	164	0
303	8	165	0
304	8	166	0
305	8	167	1
306	8	169	0
307	8	168	1
308	8	170	0
309	8	171	0
310	8	175	0
311	8	176	0
312	8	174	1
313	8	177	0
314	8	178	0
315	8	179	0
316	8	180	1
317	8	183	0
318	8	190	0
319	8	205	0
320	8	207	0
321	8	206	0
322	8	208	0
323	8	209	0
324	8	210	0
325	8	211	0
326	8	212	0
327	8	213	0
328	8	221	0
329	8	222	3
330	8	231	0
331	8	220	3
332	8	232	0
333	8	233	1
334	8	223	6
335	8	234	0
336	8	235	0
337	8	236	0
338	8	239	2
339	8	244	0
340	8	241	3
341	8	245	2
342	8	243	14
343	9	10	0
344	9	11	0
345	9	12	0
346	9	13	0
347	9	14	0
