ὁμοιοσχήμων,ὁμοιοειδής,λογοποιικός
ἐπινεμεσάω,ἐξαγανακτέω,σκύζομαι
ἐπισχεσία,παρεύρεσις
ξηραίνω,σκέλλω,καταζαίνω

ἔντιμος,τίμιος
ἐρέω,μεταλλάω,ἀνείρομαι
εὔλινος,ἐπίκλωσις,κλῶσις
φιάλλω,συναναδέχομαι
ἀρτεμής,ὑγιής,σῶς
τακτός,εἱμαρτός
ὑπόστεγος,ὑπωρόφιος
λεσβίς,ἀνδρίς
τύχη,εὐποτμία,δυστυχία

καταριθμέω,καταλογίζομαι,ἐξαριθμέω
σύνειμι,συνέρχομαι
ὁμόχροια,χροιά
νεφελοκοκκυγιεύς,νέφος
ὑπόπυος,πύησις
εὐνομέομαι,εὔνομος,θεσμοποιέω
σπιλώδης,ὑπόπετρος,πετρήρης
δριμύλος,διαμπερής,διαπρύσιος
διαπορθέω,προώλης,ἐκφθείρω

ἐπιπάρειμι,πάρειμι
ἀποτέλειος,ἄνταρχος,ἀπάρχης
σιώπησις,κατασκήνωμα,σιωπηλός
σκέλλω,ἀφαύω,καταζαίνω
ἱπποκέλευθος,ἱππελάτης,ἐχέπωλος
καταξηραίνω,ἐξαυαίνω,ἀποξηραίνω
ἀκινάκης,ῥομφαία,ξιφισμός
πάνουργος,πανδελέτειος
λακάω,διαλακέω,ἐπεισπαίω
συγχώρημα,συνομολογία,ἐπιχώρησις
χρέμπτομαι,προσπτύω,ἐπιφθύζω
ῥινάω,ἀπορρινάω
ἔτυμος,ἐτήτυμος,παναληθής

μιαιφονέω,μιαιφονία,βροτοκτονέω
σύμπληξις,σύγκρουσις,συγκρουστέον
συμπεριποιέω,συνεκπορίζω,συστρατηγέω
μαντιπόλος,ἔνθεος,θυίω
φαρμακεία,πολυφάρμακος
ὀστέον,ὀστολογέω


φιλοφόρμιγξ,φίλυπνος
φολίς,παρδαλέη
ἀλυπία,εὐπεψία,ἄλγος
παμπήδην,συσκεπάζω,κατασκεπάζω
ἀλεγίζω,ἐμπάζομαι,ἀλέγω

περιτροπάδην,ἀπαρτισμός
παμβδελυρός,παμμίαρος,ἐξώλης
πανταχόθι,πρότιμος,ἄτοξος
φαιδρωπός,φανός
ἐμβελής,ἐντός
μεγαλοπρεπής,συμπρεπής
παρεμφαίνω,προσαντάω
ἀνάνδρωτος,χήρειος
ἐπιγουνίδιος,γνύξ,κώληψ

ὡρακιάω,μικροψυχέω,λιποθυμέω

ἐπισείω,ἀναρράσσω
πρός,ἐπί,ἐν
κασσύω,ἐπιρράπτω,καταρράπτω
γοργόνειος,γοργοφόνος
ἄρτυσις,ἡδυντικός
ἑλκοποιέω,ἐξελκόω,ἑλκόω

φλογερός,πυρράζω,πυρίφλεκτος
ἐμμέμονα,ἀποβολεύς
δενδρώδης,δενδρῶτις,δενδρήεις
νηέω,ἐκσωρεύω,σώρευμα
γογγύζω,ἐπιμύζω
σιπύη,δαιτύς,δείπνηστος


σιγαλόεις,λιπώδης
