emancipo,manumitto

digladior,concerto

coaduno,interstruo,uno
affingo,confingo
emptio,praestino
omnino,omnimodo

excaldo,perluo,perlauo
genesta,sparteus,scopulae
caneo,incanus,canities
hosticus,hostilis,hostis
aradius,cranii
coniunctus,conciliatus,coniunctio
praeopto,malo
propugnatio,defensa,tutamentum
iaculus,funda
deuergentia,deuexus,decliuis
adremigo,remigo,aduersus
iaculum,uerutum,uerutus

polygala,spiraea,argemon
leucophoron,statura,aurosus
unctorium,elaeothesium,linitio
contemplabilis,scopos
tumeo,turgeo,tumesco
spectatiuus,contemplatiuus,speculatiuus
suspendium,dependulus,antependulus
bumelia,farnus,tephrias
macrinus,septimius,ulpius
cymba,scapha,horiola
squamatim,trutina,caluarium
sexus,sexitanus

insidiatrix,apiastra,cubitor
lustralis,quinquennium
tralles,thyatira
achilleos,milifolium,myriophyllon
dahae,memaceni,abii
iunctio,adunatio,iunctus
prouinciatim,prouincialis,bratuspantium
uulnerarius,chirurgus
cycneus,olorifer,olorinus
impermissus,illicitus,praeuetitus
marmarides,marmaricus

constitutio,ordinatio
pumula,lageos,rabuscula
aucupor,prospeculor
indeuitatus,certim,rato
generalis,cunilago,helioscopion
macatus,nanis,sulca

incesso,impugnatio,aggressura
anaphoricus,sanguineus,normatus
parentalis,inferiae
diastylos,araeostylos
hemerobion,spondyle
hercisco,herctum,here
halesus,aluntium
clanculo,celatim,celate
teutria,zacynthus,ionis


sedo,tranquillus,quiesco
congruus,concors
tuditanus,glabrio,maso
accumulatio,aceruatio
finalis,ultimo
ligustrum,nession,exonychon
grandaeuus,annosus,persenilis
laserpiciatus,uiolatus,nectarites
negantia,negatio,renutus
nenia,epicedion,aelinos
uox,prosodia
adhaese,subbalbe,suspense
candetum,quadrus,acnua
euectio,postis
nicephorius,sophene
absinthites,absinthium
coactor,nacca
ostento,ostendo,praesento
inceptus,coeptus,inceptio
congruenter,repugnanter,false
agathyrna,aluntium,amestratus
indemnitas,zamia

hirtus,uillosus,hirsutus

intaminatus,incontaminatus
procursus,excursus
nanis,sulca,ouinius

lumbare,lumbifragium
surdaster,subsurdus,fericulus
eubuleus,hyes
hymnio,accino,accano
instructio,statutio
hadrobolon,gingiua,gingiuula
laburnum,latifolius,platyphyllon
praepossum,multipotens,praepolleo

crantor,hegesinus
plumesco,plumo,gemmasco
dolicha,aenianes
pamphilus,hermarchus
ludibriosus,ludificatus
fraterculus,leotychides
annuntiator,nuntiator
moschis,perilla,nisa
blandiloquentulus,blandiloquus
popularis,ligauni,bursaonenses
congelasco,gelasco,gelo
genesis,genitura,natiuitas
ruptor,fractor,legirupio
alsidena,gethyum,pallacana
bistones,thracia,priantae
obstipesco,stupeo,stupesco
antiboreus,aduersus
salacia,amphitrite,pelagicus
uinctura,colligatio
